央视,#genre#
CCTV1,http://119.123.176.238:8086/hls/2/index.m3u8
CCTV2,http://119.123.176.238:8086/hls/3/index.m3u8
CCTV3,http://119.123.176.238:8086/hls/4/index.m3u8
CCTV4,http://119.123.176.238:8086/hls/5/index.m3u8
CCTV5,http://119.123.176.238:8086/hls/6/index.m3u8
CCTV5+,http://119.123.176.238:8086/hls/252/index.m3u8
CCTV6,http://119.123.176.238:8086/hls/7/index.m3u8
CCTV7,http://119.123.176.238:8086/hls/8/index.m3u8
CCTV8,http://119.123.176.238:8086/hls/9/index.m3u8
CCTV9,http://119.123.176.238:8086/hls/10/index.m3u8
CCTV10,http://119.123.176.238:8086/hls/11/index.m3u8
CCTV11,http://119.123.176.238:8086/hls/12/index.m3u8
CCTV12,http://119.123.176.238:8086/hls/13/index.m3u8
CCTV13,http://119.123.176.238:8086/hls/14/index.m3u8
CCTV14,http://119.123.176.238:8086/hls/15/index.m3u8
CCTV15,http://119.123.176.238:8086/hls/16/index.m3u8
CCTV16,http://119.123.176.238:8086/hls/17/index.m3u8
CCTV17,http://hmfs.f3322.net:3388/hls/37/index.m3u8
怀旧剧场,http://119.123.176.238:8086/hls/56/index.m3u8
世界地理,http://hmfs.f3322.net:3388/hls/28/index.m3u8
风云足球,http://hmfs.f3322.net:3388/hls/9/index.m3u8
风云剧场,http://hmfs.f3322.net:3388/hls/20/index.m3u8
第一剧场,http://hmfs.f3322.net:3388/hls/21/index.m3u8
风云音乐,http://hmfs.f3322.net:3388/hls/29/index.m3u8
CGTN,https://english-livebkali.CGTN.com/live/enCGTN_0.m3u8
CGTN记录,https://english-livebkali.CGTN.com/live/docCGTN_0.m3u8
CGTN俄语,https://russian-livews.CGTN.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd/playlist.m3u8
CGTN法语,https://francais-livews.CGTN.com/hls/LSvev95OuFZtKLc6CeKEFYXj220802LSTeV6PO0Ut9r71Uq3k5goCA220802cd/playlist.m3u8
CGTN西语,https://espanol-liveali.CGTN.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd/playlist.m3u8
CGTN阿语,https://arabic-liveali.CGTN.com/hls/LSveq57bErWLinBnxosqjisZ220802LSTefTAS9zc9mpU08y3np9TH220802cd/playlist.m3u8

卫视,#genre#
广东卫视,http://119.123.176.238:8086/hls/44/index.m3u8
广西卫视,http://119.123.176.238:8086/hls/48/index.m3u8
海南卫视,http://119.123.176.238:8086/hls/50/index.m3u8
河南卫视,http://119.123.176.238:8086/hls/52/index.m3u8
湖北卫视,http://119.123.176.238:8086/hls/54/index.m3u8
湖南卫视,http://119.123.176.238:8086/hls/55/index.m3u8
金鹰纪实,http://hmfs.f3322.net:3388/hls/39/index.m3u8
江苏卫视,http://119.123.176.238:8086/hls/59/index.m3u8
深圳卫视,http://119.123.176.238:8086/hls/79/index.m3u8
四川卫视,http://119.123.176.238:8086/hls/82/index.m3u8
重庆卫视,http://119.123.176.238:8086/hls/100/index.m3u8
浙江卫视,http://119.123.176.238:8086/hls/101/index.m3u8
浙江卫视,http://119.123.176.238:8086/hls/128/index.m3u8
东方卫视,http://119.123.176.238:8086/hls/129/index.m3u8
北京卫视,http://119.123.176.238:8086/hls/131/index.m3u8
